image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
jiuyuan_00001,0,0,1,0,0,0,0
jiuyuan_00002,0,0,1,0,0,0,0
jiuyuan_00003,0,0,1,0,0,0,0
jiuyuan_00004,0,0,1,0,0,0,0
jiuyuan_00005,0,0,1,0,0,0,0
jiuyuan_00006,0,0,1,0,0,0,0
jiuyuan_00007,0,0,1,0,0,0,0
jiuyuan_00008,0,0,1,0,0,0,0
jiuyuan_00009,0,0,1,0,0,0,0
jiuyuan_00010,0,0,1,0,0,0,0
jiuyuan_00011,0,0,1,0,0,0,0
jiuyuan_00012,0,0,1,0,0,0,0
jiuyuan_00013,0,0,1,0,0,0,0
jiuyuan_00014,0,0,0,0,1,0,0
jiuyuan_00015,0,0,0,0,1,0,0
jiuyuan_00016,0,0,0,0,1,0,0
jiuyuan_00017,0,0,0,0,1,0,0
jiuyuan_00018,0,0,0,0,1,0,0
jiuyuan_00019,0,0,0,0,1,0,0
jiuyuan_00020,0,0,0,0,1,0,0
jiuyuan_00021,0,0,0,0,1,0,0
jiuyuan_00022,0,0,0,0,1,0,0
jiuyuan_00023,0,0,0,0,1,0,0
jiuyuan_00024,0,0,0,0,1,0,0
jiuyuan_00025,0,0,0,0,1,0,0
jiuyuan_00026,0,0,0,0,1,0,0
jiuyuan_00027,0,0,0,0,1,0,0
jiuyuan_00028,0,0,0,0,1,0,0
jiuyuan_00029,0,0,0,0,1,0,0
jiuyuan_00030,0,0,0,0,1,0,0
jiuyuan_00031,0,0,0,0,1,0,0
jiuyuan_00032,0,0,0,0,1,0,0
jiuyuan_00033,0,0,0,0,1,0,0
jiuyuan_00034,0,0,0,0,1,0,0
jiuyuan_00035,0,0,0,0,1,0,0
jiuyuan_00036,0,0,0,0,1,0,0
jiuyuan_00037,0,0,0,0,1,0,0
jiuyuan_00038,0,0,0,0,1,0,0
jiuyuan_00039,0,0,0,0,1,0,0
jiuyuan_00040,0,0,0,0,1,0,0
jiuyuan_00041,0,0,0,0,1,0,0
jiuyuan_00042,0,0,0,0,1,0,0
jiuyuan_00043,0,0,0,0,1,0,0
jiuyuan_00044,0,0,0,0,1,0,0
jiuyuan_00045,0,0,0,0,1,0,0
jiuyuan_00046,0,0,0,0,1,0,0
jiuyuan_00047,0,0,0,0,1,0,0
jiuyuan_00048,0,0,0,0,1,0,0
jiuyuan_00049,0,0,0,0,1,0,0
jiuyuan_00050,0,0,0,0,1,0,0
jiuyuan_00051,0,0,0,0,1,0,0
jiuyuan_00052,0,0,0,0,1,0,0
jiuyuan_00053,0,0,0,0,1,0,0
jiuyuan_00054,0,0,0,0,1,0,0
jiuyuan_00055,0,0,0,0,1,0,0
jiuyuan_00056,0,0,0,0,1,0,0
jiuyuan_00057,0,0,0,0,1,0,0
jiuyuan_00058,0,0,0,0,1,0,0
jiuyuan_00059,0,0,0,0,1,0,0
jiuyuan_00060,0,0,0,0,1,0,0
jiuyuan_00061,0,0,0,0,1,0,0
jiuyuan_00062,0,0,0,0,1,0,0
jiuyuan_00063,0,0,0,0,1,0,0
jiuyuan_00064,0,0,0,0,1,0,0
jiuyuan_00065,0,0,0,0,1,0,0
jiuyuan_00066,0,0,0,0,1,0,0
jiuyuan_00067,0,0,0,0,1,0,0
jiuyuan_00068,0,0,0,0,1,0,0
jiuyuan_00069,0,0,0,0,1,0,0
jiuyuan_00070,0,0,0,0,1,0,0
jiuyuan_00071,0,0,0,0,1,0,0
jiuyuan_00072,0,0,0,0,1,0,0
jiuyuan_00073,0,0,0,0,1,0,0
jiuyuan_00074,0,0,0,0,0,1,0
jiuyuan_00075,0,0,0,0,0,1,0
jiuyuan_00076,0,0,0,0,0,1,0
jiuyuan_00077,0,0,0,0,0,1,0
jiuyuan_00078,0,0,0,0,0,1,0
jiuyuan_00079,0,0,0,0,0,1,0
jiuyuan_00080,0,0,0,0,0,1,0
jiuyuan_00081,0,0,0,0,0,1,0
jiuyuan_00082,0,0,0,0,0,1,0
jiuyuan_00083,0,0,0,0,0,1,0
jiuyuan_00084,0,0,0,0,0,1,0
jiuyuan_00085,0,0,0,0,0,1,0
jiuyuan_00086,0,0,0,0,0,1,0
jiuyuan_00087,0,0,0,0,0,1,0
jiuyuan_00088,0,0,0,0,0,1,0
jiuyuan_00089,0,0,0,0,0,1,0
jiuyuan_00090,0,0,0,0,0,1,0
jiuyuan_00091,0,1,0,0,0,0,0
jiuyuan_00092,0,1,0,0,0,0,0
jiuyuan_00093,0,1,0,0,0,0,0
jiuyuan_00094,0,1,0,0,0,0,0
jiuyuan_00095,0,1,0,0,0,0,0
jiuyuan_00096,0,1,0,0,0,0,0
jiuyuan_00097,0,1,0,0,0,0,0
jiuyuan_00098,0,1,0,0,0,0,0
jiuyuan_00099,0,1,0,0,0,0,0
jiuyuan_00100,0,1,0,0,0,0,0
jiuyuan_00101,0,1,0,0,0,0,0
jiuyuan_00102,0,1,0,0,0,0,0
jiuyuan_00103,0,1,0,0,0,0,0
jiuyuan_00104,0,1,0,0,0,0,0
jiuyuan_00105,0,1,0,0,0,0,0
jiuyuan_00106,0,1,0,0,0,0,0
jiuyuan_00107,0,1,0,0,0,0,0
jiuyuan_00108,0,1,0,0,0,0,0
jiuyuan_00109,0,1,0,0,0,0,0
jiuyuan_00110,0,1,0,0,0,0,0
jiuyuan_00111,0,1,0,0,0,0,0
jiuyuan_00112,0,1,0,0,0,0,0
jiuyuan_00113,0,1,0,0,0,0,0
jiuyuan_00114,0,1,0,0,0,0,0
jiuyuan_00115,0,1,0,0,0,0,0
jiuyuan_00116,0,1,0,0,0,0,0
jiuyuan_00117,0,1,0,0,0,0,0
jiuyuan_00118,0,1,0,0,0,0,0
jiuyuan_00119,0,1,0,0,0,0,0
jiuyuan_00120,0,1,0,0,0,0,0
jiuyuan_00121,0,1,0,0,0,0,0
jiuyuan_00122,0,1,0,0,0,0,0
jiuyuan_00123,0,1,0,0,0,0,0
jiuyuan_00124,0,1,0,0,0,0,0
jiuyuan_00125,0,1,0,0,0,0,0
jiuyuan_00126,0,1,0,0,0,0,0
jiuyuan_00127,0,1,0,0,0,0,0
jiuyuan_00128,0,1,0,0,0,0,0
jiuyuan_00129,0,1,0,0,0,0,0
jiuyuan_00130,0,1,0,0,0,0,0
jiuyuan_00131,0,1,0,0,0,0,0
jiuyuan_00132,0,1,0,0,0,0,0
jiuyuan_00133,0,1,0,0,0,0,0
jiuyuan_00134,0,1,0,0,0,0,0
jiuyuan_00135,0,1,0,0,0,0,0
jiuyuan_00136,0,1,0,0,0,0,0
jiuyuan_00137,0,1,0,0,0,0,0
jiuyuan_00138,0,1,0,0,0,0,0
jiuyuan_00139,0,1,0,0,0,0,0
jiuyuan_00140,0,1,0,0,0,0,0
jiuyuan_00141,0,1,0,0,0,0,0
jiuyuan_00142,0,1,0,0,0,0,0
jiuyuan_00143,0,1,0,0,0,0,0
jiuyuan_00144,0,1,0,0,0,0,0
jiuyuan_00145,0,1,0,0,0,0,0
jiuyuan_00146,0,1,0,0,0,0,0
jiuyuan_00147,0,1,0,0,0,0,0
jiuyuan_00148,0,1,0,0,0,0,0
jiuyuan_00149,0,1,0,0,0,0,0
jiuyuan_00150,0,1,0,0,0,0,0
jiuyuan_00151,0,1,0,0,0,0,0
jiuyuan_00152,0,1,0,0,0,0,0
jiuyuan_00153,0,1,0,0,0,0,0
jiuyuan_00154,0,1,0,0,0,0,0
jiuyuan_00155,0,1,0,0,0,0,0
jiuyuan_00156,0,1,0,0,0,0,0
jiuyuan_00157,0,1,0,0,0,0,0
jiuyuan_00158,0,1,0,0,0,0,0
jiuyuan_00159,0,1,0,0,0,0,0
jiuyuan_00160,0,1,0,0,0,0,0
jiuyuan_00161,0,1,0,0,0,0,0
jiuyuan_00162,0,1,0,0,0,0,0
jiuyuan_00163,0,1,0,0,0,0,0
jiuyuan_00164,0,1,0,0,0,0,0
jiuyuan_00165,0,1,0,0,0,0,0
jiuyuan_00166,0,1,0,0,0,0,0
jiuyuan_00167,0,1,0,0,0,0,0
jiuyuan_00168,0,1,0,0,0,0,0
jiuyuan_00169,0,1,0,0,0,0,0
jiuyuan_00170,0,1,0,0,0,0,0
jiuyuan_00171,0,1,0,0,0,0,0
jiuyuan_00172,0,1,0,0,0,0,0
jiuyuan_00173,0,1,0,0,0,0,0
jiuyuan_00174,0,1,0,0,0,0,0
jiuyuan_00175,0,1,0,0,0,0,0
jiuyuan_00176,0,1,0,0,0,0,0
jiuyuan_00177,0,1,0,0,0,0,0
jiuyuan_00178,0,1,0,0,0,0,0
jiuyuan_00179,0,1,0,0,0,0,0
jiuyuan_00180,0,1,0,0,0,0,0
jiuyuan_00181,0,1,0,0,0,0,0
jiuyuan_00182,0,1,0,0,0,0,0
jiuyuan_00183,0,1,0,0,0,0,0
jiuyuan_00184,0,1,0,0,0,0,0
jiuyuan_00185,0,1,0,0,0,0,0
jiuyuan_00186,0,1,0,0,0,0,0
jiuyuan_00187,0,1,0,0,0,0,0
jiuyuan_00188,0,1,0,0,0,0,0
jiuyuan_00189,0,1,0,0,0,0,0
jiuyuan_00190,0,1,0,0,0,0,0
jiuyuan_00191,0,1,0,0,0,0,0
jiuyuan_00192,0,1,0,0,0,0,0
jiuyuan_00193,0,1,0,0,0,0,0
jiuyuan_00194,0,1,0,0,0,0,0
jiuyuan_00195,0,1,0,0,0,0,0
jiuyuan_00196,0,1,0,0,0,0,0
jiuyuan_00197,0,1,0,0,0,0,0
jiuyuan_00198,0,1,0,0,0,0,0
jiuyuan_00199,0,1,0,0,0,0,0
jiuyuan_00200,0,1,0,0,0,0,0
jiuyuan_00201,0,1,0,0,0,0,0
jiuyuan_00202,0,1,0,0,0,0,0
jiuyuan_00203,0,1,0,0,0,0,0
jiuyuan_00204,0,1,0,0,0,0,0
jiuyuan_00205,0,1,0,0,0,0,0
jiuyuan_00206,0,1,0,0,0,0,0
jiuyuan_00207,0,1,0,0,0,0,0
jiuyuan_00208,0,1,0,0,0,0,0
jiuyuan_00209,0,1,0,0,0,0,0
jiuyuan_00210,0,1,0,0,0,0,0
jiuyuan_00211,0,1,0,0,0,0,0
jiuyuan_00212,0,1,0,0,0,0,0
jiuyuan_00213,0,1,0,0,0,0,0
jiuyuan_00214,0,1,0,0,0,0,0
jiuyuan_00215,0,1,0,0,0,0,0
jiuyuan_00216,0,1,0,0,0,0,0
jiuyuan_00217,0,1,0,0,0,0,0
jiuyuan_00218,0,1,0,0,0,0,0
jiuyuan_00219,0,1,0,0,0,0,0
jiuyuan_00220,0,1,0,0,0,0,0
jiuyuan_00221,0,1,0,0,0,0,0
jiuyuan_00222,0,1,0,0,0,0,0
jiuyuan_00223,0,1,0,0,0,0,0
jiuyuan_00224,0,1,0,0,0,0,0
jiuyuan_00225,0,1,0,0,0,0,0
jiuyuan_00226,0,1,0,0,0,0,0
jiuyuan_00227,0,1,0,0,0,0,0
jiuyuan_00228,0,1,0,0,0,0,0
jiuyuan_00229,0,1,0,0,0,0,0
jiuyuan_00230,0,1,0,0,0,0,0
jiuyuan_00231,0,1,0,0,0,0,0
jiuyuan_00232,0,1,0,0,0,0,0
jiuyuan_00233,0,1,0,0,0,0,0
jiuyuan_00234,0,1,0,0,0,0,0
jiuyuan_00235,0,1,0,0,0,0,0
jiuyuan_00236,0,1,0,0,0,0,0
jiuyuan_00237,0,1,0,0,0,0,0
jiuyuan_00238,0,1,0,0,0,0,0
jiuyuan_00239,0,1,0,0,0,0,0
jiuyuan_00240,0,1,0,0,0,0,0
jiuyuan_00241,0,1,0,0,0,0,0
jiuyuan_00242,0,1,0,0,0,0,0
jiuyuan_00243,0,1,0,0,0,0,0
jiuyuan_00244,0,1,0,0,0,0,0
jiuyuan_00245,0,1,0,0,0,0,0
jiuyuan_00246,0,1,0,0,0,0,0
jiuyuan_00247,0,1,0,0,0,0,0
jiuyuan_00248,0,1,0,0,0,0,0
jiuyuan_00249,0,1,0,0,0,0,0
jiuyuan_00250,0,1,0,0,0,0,0
jiuyuan_00251,0,1,0,0,0,0,0
jiuyuan_00252,0,1,0,0,0,0,0
jiuyuan_00253,0,1,0,0,0,0,0
jiuyuan_00254,0,1,0,0,0,0,0
jiuyuan_00255,0,1,0,0,0,0,0
jiuyuan_00256,0,1,0,0,0,0,0
jiuyuan_00257,0,1,0,0,0,0,0
jiuyuan_00258,0,1,0,0,0,0,0
jiuyuan_00259,0,1,0,0,0,0,0
jiuyuan_00260,0,1,0,0,0,0,0
jiuyuan_00261,0,1,0,0,0,0,0
jiuyuan_00262,0,1,0,0,0,0,0
jiuyuan_00263,0,1,0,0,0,0,0
jiuyuan_00264,0,1,0,0,0,0,0
jiuyuan_00265,0,1,0,0,0,0,0
jiuyuan_00266,0,1,0,0,0,0,0
jiuyuan_00267,0,1,0,0,0,0,0
jiuyuan_00268,0,1,0,0,0,0,0
jiuyuan_00269,0,1,0,0,0,0,0
jiuyuan_00270,0,1,0,0,0,0,0
jiuyuan_00271,0,1,0,0,0,0,0
jiuyuan_00272,0,1,0,0,0,0,0
jiuyuan_00273,0,1,0,0,0,0,0
jiuyuan_00274,0,1,0,0,0,0,0
jiuyuan_00275,0,1,0,0,0,0,0
jiuyuan_00276,0,1,0,0,0,0,0
jiuyuan_00277,0,1,0,0,0,0,0
jiuyuan_00278,0,1,0,0,0,0,0
jiuyuan_00279,0,1,0,0,0,0,0
jiuyuan_00280,0,1,0,0,0,0,0
jiuyuan_00281,0,1,0,0,0,0,0
jiuyuan_00282,0,1,0,0,0,0,0
jiuyuan_00283,0,1,0,0,0,0,0
jiuyuan_00284,0,1,0,0,0,0,0
jiuyuan_00285,0,1,0,0,0,0,0
jiuyuan_00286,0,1,0,0,0,0,0
jiuyuan_00287,0,1,0,0,0,0,0
jiuyuan_00288,0,1,0,0,0,0,0
jiuyuan_00289,0,1,0,0,0,0,0
jiuyuan_00290,0,1,0,0,0,0,0
jiuyuan_00291,0,1,0,0,0,0,0
jiuyuan_00292,0,1,0,0,0,0,0
jiuyuan_00293,0,1,0,0,0,0,0
jiuyuan_00294,0,1,0,0,0,0,0
jiuyuan_00295,0,1,0,0,0,0,0
jiuyuan_00296,0,1,0,0,0,0,0
jiuyuan_00297,0,1,0,0,0,0,0
jiuyuan_00298,0,1,0,0,0,0,0
jiuyuan_00299,0,1,0,0,0,0,0
jiuyuan_00300,0,1,0,0,0,0,0
jiuyuan_00301,0,1,0,0,0,0,0
jiuyuan_00302,0,1,0,0,0,0,0
jiuyuan_00303,0,1,0,0,0,0,0
jiuyuan_00304,0,1,0,0,0,0,0
jiuyuan_00305,0,1,0,0,0,0,0
jiuyuan_00306,0,1,0,0,0,0,0
jiuyuan_00307,0,1,0,0,0,0,0
jiuyuan_00308,0,1,0,0,0,0,0
jiuyuan_00309,0,1,0,0,0,0,0
jiuyuan_00310,0,1,0,0,0,0,0
jiuyuan_00311,0,1,0,0,0,0,0
jiuyuan_00312,0,1,0,0,0,0,0
jiuyuan_00313,0,1,0,0,0,0,0
jiuyuan_00314,0,1,0,0,0,0,0
jiuyuan_00315,0,1,0,0,0,0,0
jiuyuan_00316,0,1,0,0,0,0,0
jiuyuan_00317,0,1,0,0,0,0,0
jiuyuan_00318,0,1,0,0,0,0,0
jiuyuan_00319,0,1,0,0,0,0,0
jiuyuan_00320,0,1,0,0,0,0,0
jiuyuan_00321,0,1,0,0,0,0,0
jiuyuan_00322,0,1,0,0,0,0,0
jiuyuan_00323,0,1,0,0,0,0,0
jiuyuan_00324,0,1,0,0,0,0,0
jiuyuan_00325,0,1,0,0,0,0,0
jiuyuan_00326,0,1,0,0,0,0,0
jiuyuan_00327,0,1,0,0,0,0,0
jiuyuan_00328,0,1,0,0,0,0,0
jiuyuan_00329,0,1,0,0,0,0,0
jiuyuan_00330,0,1,0,0,0,0,0
jiuyuan_00331,0,1,0,0,0,0,0
jiuyuan_00332,0,1,0,0,0,0,0
jiuyuan_00333,0,1,0,0,0,0,0
jiuyuan_00334,0,1,0,0,0,0,0
jiuyuan_00335,0,1,0,0,0,0,0
jiuyuan_00336,0,1,0,0,0,0,0
jiuyuan_00337,0,1,0,0,0,0,0
jiuyuan_00338,0,1,0,0,0,0,0
jiuyuan_00339,0,1,0,0,0,0,0
jiuyuan_00340,0,1,0,0,0,0,0
jiuyuan_00341,0,1,0,0,0,0,0
jiuyuan_00342,0,1,0,0,0,0,0
jiuyuan_00343,0,1,0,0,0,0,0
jiuyuan_00344,0,1,0,0,0,0,0
jiuyuan_00345,0,1,0,0,0,0,0
jiuyuan_00346,0,1,0,0,0,0,0
jiuyuan_00347,0,1,0,0,0,0,0
jiuyuan_00348,0,1,0,0,0,0,0
jiuyuan_00349,0,1,0,0,0,0,0
jiuyuan_00350,0,1,0,0,0,0,0
jiuyuan_00351,0,1,0,0,0,0,0
jiuyuan_00352,0,1,0,0,0,0,0
jiuyuan_00353,0,1,0,0,0,0,0
jiuyuan_00354,0,1,0,0,0,0,0
jiuyuan_00355,0,1,0,0,0,0,0
jiuyuan_00356,0,1,0,0,0,0,0
jiuyuan_00357,0,1,0,0,0,0,0
jiuyuan_00358,0,1,0,0,0,0,0
jiuyuan_00359,0,1,0,0,0,0,0
jiuyuan_00360,0,1,0,0,0,0,0
jiuyuan_00361,0,1,0,0,0,0,0
jiuyuan_00362,0,1,0,0,0,0,0
jiuyuan_00363,0,1,0,0,0,0,0
jiuyuan_00364,0,1,0,0,0,0,0
jiuyuan_00365,0,1,0,0,0,0,0
jiuyuan_00366,0,1,0,0,0,0,0
jiuyuan_00367,0,1,0,0,0,0,0
jiuyuan_00368,0,1,0,0,0,0,0
jiuyuan_00369,0,1,0,0,0,0,0
jiuyuan_00370,0,1,0,0,0,0,0
jiuyuan_00371,0,1,0,0,0,0,0
jiuyuan_00372,0,1,0,0,0,0,0
jiuyuan_00373,0,1,0,0,0,0,0
jiuyuan_00374,0,1,0,0,0,0,0
jiuyuan_00375,0,1,0,0,0,0,0
jiuyuan_00376,0,0,0,0,0,0,1
jiuyuan_00377,0,0,0,0,0,0,1
jiuyuan_00378,0,0,0,0,0,0,1
jiuyuan_00379,0,0,0,0,0,0,1
